imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,weighted_average_vote
tt1138523,Bharat Ane Nenu(Tamil),Bharat Ane Nenu,2018,2018-04-20,"Action, Drama",173,India,Tamil,Koratala Siva,"Srihari Nanu, Koratala Siva",DVV Entertainment,"Mahesh Babu, Kiara Advani, Prakash Raj, Sarath Kumar, Devaraj, Rajsekhar Aningi, Aamani, Sithara, Saakshi Sivaa, Anish Kuruvilla, Kadambari Kiran, Jayalalitha, Mukhtar Khan, Jayavani, Jeeva","Bharat, an young graduate, becomes the C.M of Andhra Pradesh (pre-div) after his father demise without any political knowledge, faces challenges in the process of reform the society.",7.7,15116,,$ 2663090,$ 3276257,,143.0,22.0,7.7
tt6980696,Curzoner Kalom,Curzoner Kalom,2017,2017-11-03,Drama,115,India,Bengali,Souvik Mitra,"Padmanabha Dasgupta, Raajorshi Dey",AVA Film Productions,"Paran Banerjee, Saheb Bhattacharjee, Poulomi Das, Lily Chakravarty, Kharaj Mukherjee, Kanchan Mullick, Kushal Chakraborty, Sumit Samaddar, Rajarshi Mukherjee, Debdut Ghosh, Mallika Ghosh, Pushpita Mukherjee, Pawan Kanodia, Adrija Ghosh, Sakrit Mukherjee",Curzoner Kalam (Lord Curzon's Pen) - Mystery movie More than hundred years later to try to find Lord Curzon's gold Pen with a 10 carat diamond which was lost in 1905,7.9,100,$ 500000,,,,,,7.9
tt6982254,To Let,To Let,2019,2019-02-21,Family,99,India,Tamil,Chezhian Ra,Chezhian Ra,Zhla Cinema,"Dharun Bala, T. Arul Ezhilan, Mk Mani, Marudhu Mohan, Aadhira Pandilakshmi, Sheela Rajkumar, Santhosh Sreeram, Ravi Subramaniyan, Arumuga Velu",The struggle of a family of three as they search for a house to rent after being given an ultimatum to vacate their house by their land lady.,8.0,575,,,$ 6155,,11.0,3.0,8.0
tt1458862,The Accidental Prime Minister(Hindi),The Accidental Prime Minister,2019,2019-01-11,"Biography, Drama",112,India,Hindi,Vijay Ratnakar Gutte,"Sanjaya Baru, Karl Dunne",Bohra Bros Productions,"Anupam Kher, Akshaye Khanna, Suzanne Bernert, Vipin Sharma, Arjun Mathur, Aahana Kumra, Divya Seth Shah, Anish Kuruvilla, Prakash Belawadi, Madan Joshi, Pradip Chakravarti, Shiv Subramaniam, Yogesh Tripathy, Bobby Parvez, Anil Zankar",Explores,6.0,6039,,,$ 102300,,232.0,16.0,6.0
tt1010003,The Accidental Prime Minister(English),The Accidental Prime Minister,2019,2019-01-11,"Biography, Drama",112,India,English,Vijay Ratnakar Gutte,"Sanjaya Baru, Karl Dunne",Bohra Bros Productions,"Anupam Kher, Akshaye Khanna, Suzanne Bernert, Vipin Sharma, Arjun Mathur, Aahana Kumra, Divya Seth Shah, Anish Kuruvilla, Prakash Belawadi, Madan Joshi, Pradip Chakravarti, Shiv Subramaniam, Yogesh Tripathy, Bobby Parvez, Anil Zankar",Explores,6.0,6039,,,$ 102300,,232.0,16.0,6.0
tt6988116,Kalank,Kalank,2019,2019-04-17,"Drama, Romance",166,India,Hindi,Abhishek Varman,"Shibani Bathija, Hussain Dalal",Dharma Productions,"Varun Dhawan, Alia Bhatt, Madhuri Dixit, Sanjay Dutt, Aditya Roy Kapoor, Kunal Khemu, Sonakshi Sinha, Pawan Chopra, Kiara Advani, Nida Bhatt, Neha Chawdhury, Pavail Gulati, Achint Kaur, Amit Singh Kharbanda, Rashmi Mukherjee","The lives of six enigmatic characters become entangled whilst in search of love, but separated by the dichotomy between the two worlds of Husnabad, a town in North India.",3.5,11248,INR 1500000000,$ 2729336,$ 17987034,,511.0,23.0,3.5
tt6996016,Ninnu Kori,Ninnu Kori,2017,2017-07-07,"Comedy, Romance",137,India,Telugu,Shiva Nirvana,"Shiva Nirvana, Kona Venkat",DVV Entertainment,"Nani, Nivetha Thomas, Aadhi, Tanikella Bharani, Murli Sharma, Prudhviraj, Master Aarush, Baby Aarushi, Anusha, Master Aryank Bharadhwaj, Gaana Bhat, Basha Allure Crawford, Amanda Misa Curtis, Dylan Kento Curtis, Baby Nayana Ghattamaneni","Two lovers, Pallavi and Uma get separated by circumstances, but reconnect years later, when Pallavi is happily married to someone else.",7.5,2234,,,$ 149229,,7.0,3.0,7.5
tt6997642,Ribbon,Ribbon,2017,2017-11-03,"Drama, Family",106,India,Hindi,Rackhee Sandilya,"Raghav Dutt, Manjiri Pupala",,"Kalki Koechlin, Sumeet Vyas, Pathy Aiyar, Hempushpak Arora, Parul Arora, Priyanka Basu, Om Shankar Bhagat, Nitin Bhardwaj, Rahil Bhardwaj, Rahil Bhardwaj, Bhushan Borgaonkar, Padma Damodaran, Karan Desai, Adam Dow, Raghav Dutt",A young working urban couple is overwhelmed with the birth of a baby girl and find that parenthood comes with its own challenges.,6.9,533,,,,,18.0,5.0,6.9
tt6998574,Oru Kidayin Karunai Manu,Oru Kidayin Karunai Manu,2017,2017-06-02,Drama,121,India,Tamil,Suresh Sangaiah,Suresh Sangaiah,Eros International,"Raveena Ravi, Vidharth","The newlywed Ramamoorthy and his clan are headed on a truck to their family deity's temple for a goat sacrifice ceremony. On the remote thoroughfare they encounter an accident, and a local ...",7.7,282,,,,,2.0,1.0,7.7
tt6998596,Rangoon,Rangoon,2017,2017-06-09,"Action, Crime, Drama",126,India,Tamil,Rajkumar Periasamy,Rajkumar Periasamy,A. R. Murugadoss productions,"Gautham Karthik, Lallu, Sana Makbul, Prashant Nair, Daniel Annie Pope, Siddique",A story about three friends dealing illegal gold trafficking in India and when they think everything is going smoothly their life takes a u-turn when a business deal goes wrong in Rangoon,7.1,575,,,,,2.0,3.0,7.1
